"base_gene_src","base_id_src","base_gene_dest","base_id_dest","pathway","database"
"RACK1","ENTREZID","IFNAR1","ENTREZID","Human Diseases-Infectious disease- viral-Measles","kegg"
"RACK1","ENTREZID","STAT1","ENTREZID","Human Diseases-Infectious disease- viral-Measles","kegg"
"CD46","ENTREZID","MSN","ENTREZID","Human Diseases-Infectious disease- viral-Measles","kegg"
"IL2RA","ENTREZID","JAK1","ENTREZID","Human Diseases-Infectious disease- viral-Measles","kegg"
"CBLB","ENTREZID","PIK3CA","ENTREZID","Human Diseases-Infectious disease- viral-Measles","kegg"
"TNFAIP3","ENTREZID","TRAF6","ENTREZID","Human Diseases-Infectious disease- viral-Measles","kegg"
"FCGR2B","ENTREZID","IL12A","ENTREZID","Human Diseases-Infectious disease- viral-Measles","kegg"
"RCHY1","ENTREZID","TP53","ENTREZID","Human Diseases-Infectious disease- viral-Measles","kegg"
"SLAMF1","ENTREZID","IL12A","ENTREZID","Human Diseases-Infectious disease- viral-Measles","kegg"
"RTN3","ENTREZID","BACE1","ENTREZID","Human Diseases-Neurodegenerative disease-Alzheimer disease","kegg"
"APP","ENTREZID","APBB1","ENTREZID","Human Diseases-Neurodegenerative disease-Alzheimer disease","kegg"
"APP","ENTREZID","NAE1","ENTREZID","Human Diseases-Neurodegenerative disease-Alzheimer disease","kegg"
"APP","ENTREZID","GAPDH","ENTREZID","Human Diseases-Neurodegenerative disease-Alzheimer disease","kegg"
"MAPK1","ENTREZID","CASP3","ENTREZID","Human Diseases-Neurodegenerative disease-Alzheimer disease","kegg"
"MAPT","ENTREZID","NDUFC2-KCTD14","ENTREZID","Human Diseases-Neurodegenerative disease-Alzheimer disease","kegg"
"PSEN1","ENTREZID","RYR3","ENTREZID","Human Diseases-Neurodegenerative disease-Alzheimer disease","kegg"
"PSEN1","ENTREZID","ITPR1","ENTREZID","Human Diseases-Neurodegenerative disease-Alzheimer disease","kegg"
"PSEN1","ENTREZID","EIF2AK3","ENTREZID","Human Diseases-Neurodegenerative disease-Alzheimer disease","kegg"
"PSEN1","ENTREZID","ATF6","ENTREZID","Human Diseases-Neurodegenerative disease-Alzheimer disease","kegg"
"PSEN1","ENTREZID","ERN1","ENTREZID","Human Diseases-Neurodegenerative disease-Alzheimer disease","kegg"
"CHRM1","ENTREZID","GNAQ","ENTREZID","Human Diseases-Neurodegenerative disease-Alzheimer disease","kegg"
"CAPN1","ENTREZID","CDK5R1","ENTREZID","Human Diseases-Neurodegenerative disease-Alzheimer disease","kegg"
"CDK5R1","ENTREZID","MAPT","ENTREZID","Human Diseases-Neurodegenerative disease-Alzheimer disease","kegg"
"CDK5","ENTREZID","MAPT","ENTREZID","Human Diseases-Neurodegenerative disease-Alzheimer disease","kegg"
"MAPT","ENTREZID","TUBB3","ENTREZID","Human Diseases-Neurodegenerative disease-Alzheimer disease","kegg"
"GSK3B","ENTREZID","MAPT","ENTREZID","Human Diseases-Neurodegenerative disease-Alzheimer disease","kegg"
"CASP7","ENTREZID","MAPT","ENTREZID","Human Diseases-Neurodegenerative disease-Alzheimer disease","kegg"
"CASP3","ENTREZID","MAPT","ENTREZID","Human Diseases-Neurodegenerative disease-Alzheimer disease","kegg"
"MAPT","ENTREZID","TUBA1B","ENTREZID","Human Diseases-Neurodegenerative disease-Alzheimer disease","kegg"
"ATF6","ENTREZID","DDIT3","ENTREZID","Human Diseases-Neurodegenerative disease-Alzheimer disease","kegg"
"ATF6","ENTREZID","XBP1","ENTREZID","Human Diseases-Neurodegenerative disease-Alzheimer disease","kegg"
"PPP3CA","ENTREZID","BAD","ENTREZID","Human Diseases-Neurodegenerative disease-Alzheimer disease","kegg"
"LPL","ENTREZID","LRP1","ENTREZID","Human Diseases-Neurodegenerative disease-Alzheimer disease","kegg"
"APOE","ENTREZID","LRP1","ENTREZID","Human Diseases-Neurodegenerative disease-Alzheimer disease","kegg"
"GSK3B","ENTREZID","ARAF","ENTREZID","Human Diseases-Neurodegenerative disease-Alzheimer disease","kegg"
"PPP3CA","ENTREZID","GSK3B","ENTREZID","Human Diseases-Neurodegenerative disease-Alzheimer disease","kegg"
"CDK5","ENTREZID","GSK3B","ENTREZID","Human Diseases-Neurodegenerative disease-Alzheimer disease","kegg"
"GSK3B","ENTREZID","MAP2K1","ENTREZID","Human Diseases-Neurodegenerative disease-Alzheimer disease","kegg"
"MTOR","ENTREZID","RB1CC1","ENTREZID","Human Diseases-Neurodegenerative disease-Alzheimer disease","kegg"
"ATG2A","ENTREZID","WIPI2","ENTREZID","Human Diseases-Neurodegenerative disease-Alzheimer disease","kegg"
"GSK3B","ENTREZID","KLC3","ENTREZID","Human Diseases-Neurodegenerative disease-Alzheimer disease","kegg"
"DKK1","ENTREZID","WNT16","ENTREZID","Human Diseases-Neurodegenerative disease-Alzheimer disease","kegg"
"AGER","ENTREZID","HRAS","ENTREZID","Human Diseases-Neurodegenerative disease-Alzheimer disease","kegg"
"NFKB1","ENTREZID","CSF1","ENTREZID","Human Diseases-Neurodegenerative disease-Alzheimer disease","kegg"
"EIF2AK2","ENTREZID","IRS1","ENTREZID","Human Diseases-Neurodegenerative disease-Alzheimer disease","kegg"
"CHUK","ENTREZID","IRS1","ENTREZID","Human Diseases-Neurodegenerative disease-Alzheimer disease","kegg"
"PPID","ENTREZID","PPIF","ENTREZID","Human Diseases-Neurodegenerative disease-Alzheimer disease","kegg"
"PSEN1","ENTREZID","GSK3B","ENTREZID","Human Diseases-Neurodegenerative disease-Alzheimer disease","kegg"
"SOD1","ENTREZID","NEFL","ENTREZID","Human Diseases-Neurodegenerative disease-Amyotrophic lateral sclerosis","kegg"
"SOD1","ENTREZID","TOMM40","ENTREZID","Human Diseases-Neurodegenerative disease-Amyotrophic lateral sclerosis","kegg"
"BCL2","ENTREZID","SOD1","ENTREZID","Human Diseases-Neurodegenerative disease-Amyotrophic lateral sclerosis","kegg"
"SOD1","ENTREZID","VDAC1","ENTREZID","Human Diseases-Neurodegenerative disease-Amyotrophic lateral sclerosis","kegg"
"SOD1","ENTREZID","COX6B2","ENTREZID","Human Diseases-Neurodegenerative disease-Amyotrophic lateral sclerosis","kegg"
"SOD1","ENTREZID","SDHA","ENTREZID","Human Diseases-Neurodegenerative disease-Amyotrophic lateral sclerosis","kegg"
"SOD1","ENTREZID","BCL2","ENTREZID","Human Diseases-Neurodegenerative disease-Amyotrophic lateral sclerosis","kegg"
"BAD","ENTREZID","CYCS","ENTREZID","Human Diseases-Neurodegenerative disease-Amyotrophic lateral sclerosis","kegg"
"BCL2L1","ENTREZID","CYCS","ENTREZID","Human Diseases-Neurodegenerative disease-Amyotrophic lateral sclerosis","kegg"
"CASP1","ENTREZID","BID","ENTREZID","Human Diseases-Neurodegenerative disease-Amyotrophic lateral sclerosis","kegg"
"TNFRSF1A","ENTREZID","DAXX","ENTREZID","Human Diseases-Neurodegenerative disease-Amyotrophic lateral sclerosis","kegg"
"MAPK14","ENTREZID","NEFH","ENTREZID","Human Diseases-Neurodegenerative disease-Amyotrophic lateral sclerosis","kegg"
"MAPK14","ENTREZID","NEFM","ENTREZID","Human Diseases-Neurodegenerative disease-Amyotrophic lateral sclerosis","kegg"
"MAPK14","ENTREZID","NEFL","ENTREZID","Human Diseases-Neurodegenerative disease-Amyotrophic lateral sclerosis","kegg"
"NEFL","ENTREZID","KLC3","ENTREZID","Human Diseases-Neurodegenerative disease-Amyotrophic lateral sclerosis","kegg"
"PRPH","ENTREZID","NEFL","ENTREZID","Human Diseases-Neurodegenerative disease-Amyotrophic lateral sclerosis","kegg"
"NEFM","ENTREZID","KLC3","ENTREZID","Human Diseases-Neurodegenerative disease-Amyotrophic lateral sclerosis","kegg"
"PRPH","ENTREZID","NEFM","ENTREZID","Human Diseases-Neurodegenerative disease-Amyotrophic lateral sclerosis","kegg"
"NEFH","ENTREZID","KLC3","ENTREZID","Human Diseases-Neurodegenerative disease-Amyotrophic lateral sclerosis","kegg"
"PRPH","ENTREZID","NEFH","ENTREZID","Human Diseases-Neurodegenerative disease-Amyotrophic lateral sclerosis","kegg"
"ALS2","ENTREZID","RAB5A","ENTREZID","Human Diseases-Neurodegenerative disease-Amyotrophic lateral sclerosis","kegg"
"ALS2","ENTREZID","RAC1","ENTREZID","Human Diseases-Neurodegenerative disease-Amyotrophic lateral sclerosis","kegg"
"SOD1","ENTREZID","DERL1","ENTREZID","Human Diseases-Neurodegenerative disease-Amyotrophic lateral sclerosis","kegg"
"PPP3CA","ENTREZID","TARDBP","ENTREZID","Human Diseases-Neurodegenerative disease-Amyotrophic lateral sclerosis","kegg"
"SOD1","ENTREZID","PPP3CA","ENTREZID","Human Diseases-Neurodegenerative disease-Amyotrophic lateral sclerosis","kegg"
"TARDBP","ENTREZID","NDUFC2-KCTD14","ENTREZID","Human Diseases-Neurodegenerative disease-Amyotrophic lateral sclerosis","kegg"
"VAPB","ENTREZID","ATF6","ENTREZID","Human Diseases-Neurodegenerative disease-Amyotrophic lateral sclerosis","kegg"
"SOD1","ENTREZID","HSPA5","ENTREZID","Human Diseases-Neurodegenerative disease-Amyotrophic lateral sclerosis","kegg"
"SOD1","ENTREZID","PSMA8","ENTREZID","Human Diseases-Neurodegenerative disease-Amyotrophic lateral sclerosis","kegg"
"SOD1","ENTREZID","PSMD14","ENTREZID","Human Diseases-Neurodegenerative disease-Amyotrophic lateral sclerosis","kegg"
"TRAF2","ENTREZID","CASP12","ENTREZID","Human Diseases-Neurodegenerative disease-Amyotrophic lateral sclerosis","kegg"
"AMBRA1","ENTREZID","PIK3C3","ENTREZID","Human Diseases-Neurodegenerative disease-Amyotrophic lateral sclerosis","kegg"
"AMBRA1","ENTREZID","ATG14","ENTREZID","Human Diseases-Neurodegenerative disease-Amyotrophic lateral sclerosis","kegg"
"AMBRA1","ENTREZID","NRBF2","ENTREZID","Human Diseases-Neurodegenerative disease-Amyotrophic lateral sclerosis","kegg"
"AMBRA1","ENTREZID","PIK3R4","ENTREZID","Human Diseases-Neurodegenerative disease-Amyotrophic lateral sclerosis","kegg"
"C9orf72","ENTREZID","ATG101","ENTREZID","Human Diseases-Neurodegenerative disease-Amyotrophic lateral sclerosis","kegg"
"SQSTM1","ENTREZID","MAP1LC3C","ENTREZID","Human Diseases-Neurodegenerative disease-Amyotrophic lateral sclerosis","kegg"
"TANK","ENTREZID","SQSTM1","ENTREZID","Human Diseases-Neurodegenerative disease-Amyotrophic lateral sclerosis","kegg"
"OPTN","ENTREZID","MAP1LC3C","ENTREZID","Human Diseases-Neurodegenerative disease-Amyotrophic lateral sclerosis","kegg"
"TANK","ENTREZID","OPTN","ENTREZID","Human Diseases-Neurodegenerative disease-Amyotrophic lateral sclerosis","kegg"
"SOD1","ENTREZID","ACTR1B","ENTREZID","Human Diseases-Neurodegenerative disease-Amyotrophic lateral sclerosis","kegg"
"SOD1","ENTREZID","HAP1","ENTREZID","Human Diseases-Neurodegenerative disease-Amyotrophic lateral sclerosis","kegg"
"SOD1","ENTREZID","DNAL4","ENTREZID","Human Diseases-Neurodegenerative disease-Amyotrophic lateral sclerosis","kegg"
"HDAC6","ENTREZID","TARDBP","ENTREZID","Human Diseases-Neurodegenerative disease-Amyotrophic lateral sclerosis","kegg"
"PRKN","ENTREZID","TARDBP","ENTREZID","Human Diseases-Neurodegenerative disease-Amyotrophic lateral sclerosis","kegg"
"TARDBP","ENTREZID","PSMA8","ENTREZID","Human Diseases-Neurodegenerative disease-Amyotrophic lateral sclerosis","kegg"
"TARDBP","ENTREZID","PSMD14","ENTREZID","Human Diseases-Neurodegenerative disease-Amyotrophic lateral sclerosis","kegg"
"CHCHD10","ENTREZID","TARDBP","ENTREZID","Human Diseases-Neurodegenerative disease-Amyotrophic lateral sclerosis","kegg"
"ULK1","ENTREZID","PIK3C3","ENTREZID","Human Diseases-Neurodegenerative disease-Amyotrophic lateral sclerosis","kegg"
"ULK1","ENTREZID","NRBF2","ENTREZID","Human Diseases-Neurodegenerative disease-Amyotrophic lateral sclerosis","kegg"
"ULK1","ENTREZID","PIK3R4","ENTREZID","Human Diseases-Neurodegenerative disease-Amyotrophic lateral sclerosis","kegg"
"ATG13","ENTREZID","PIK3C3","ENTREZID","Human Diseases-Neurodegenerative disease-Amyotrophic lateral sclerosis","kegg"
"ATG13","ENTREZID","NRBF2","ENTREZID","Human Diseases-Neurodegenerative disease-Amyotrophic lateral sclerosis","kegg"
"ATG13","ENTREZID","PIK3R4","ENTREZID","Human Diseases-Neurodegenerative disease-Amyotrophic lateral sclerosis","kegg"
"ATG13","ENTREZID","BECN2","ENTREZID","Human Diseases-Neurodegenerative disease-Amyotrophic lateral sclerosis","kegg"
"ATG101","ENTREZID","PIK3C3","ENTREZID","Human Diseases-Neurodegenerative disease-Amyotrophic lateral sclerosis","kegg"
"ATG101","ENTREZID","ATG14","ENTREZID","Human Diseases-Neurodegenerative disease-Amyotrophic lateral sclerosis","kegg"
"ATG101","ENTREZID","NRBF2","ENTREZID","Human Diseases-Neurodegenerative disease-Amyotrophic lateral sclerosis","kegg"
"ATG101","ENTREZID","PIK3R4","ENTREZID","Human Diseases-Neurodegenerative disease-Amyotrophic lateral sclerosis","kegg"
"ATG101","ENTREZID","BECN2","ENTREZID","Human Diseases-Neurodegenerative disease-Amyotrophic lateral sclerosis","kegg"
"HTT","ENTREZID","SDHA","ENTREZID","Human Diseases-Neurodegenerative disease-Huntington disease","kegg"
"HTT","ENTREZID","UQCR11","ENTREZID","Human Diseases-Neurodegenerative disease-Huntington disease","kegg"
"HTT","ENTREZID","REST","ENTREZID","Human Diseases-Neurodegenerative disease-Huntington disease","kegg"
"SIN3A","ENTREZID","BDNF","ENTREZID","Human Diseases-Neurodegenerative disease-Huntington disease","kegg"
"RCOR1","ENTREZID","BDNF","ENTREZID","Human Diseases-Neurodegenerative disease-Huntington disease","kegg"
"REST","ENTREZID","BDNF","ENTREZID","Human Diseases-Neurodegenerative disease-Huntington disease","kegg"
"HDAC1","ENTREZID","BDNF","ENTREZID","Human Diseases-Neurodegenerative disease-Huntington disease","kegg"
"DLG4","ENTREZID","GRIN1","ENTREZID","Human Diseases-Neurodegenerative disease-Huntington disease","kegg"
"GRM5","ENTREZID","GNAQ","ENTREZID","Human Diseases-Neurodegenerative disease-Huntington disease","kegg"
"HTT","ENTREZID","ITPR1","ENTREZID","Human Diseases-Neurodegenerative disease-Huntington disease","kegg"
"PPARGC1A","ENTREZID","SOD2","ENTREZID","Human Diseases-Neurodegenerative disease-Huntington disease","kegg"
"PPARGC1A","ENTREZID","GPX6","ENTREZID","Human Diseases-Neurodegenerative disease-Huntington disease","kegg"
"PPARGC1A","ENTREZID","SOD1","ENTREZID","Human Diseases-Neurodegenerative disease-Huntington disease","kegg"
"HTT","ENTREZID","HIP1","ENTREZID","Human Diseases-Neurodegenerative disease-Huntington disease","kegg"
"HTT","ENTREZID","CLTA","ENTREZID","Human Diseases-Neurodegenerative disease-Huntington disease","kegg"
"HTT","ENTREZID","AP2M1","ENTREZID","Human Diseases-Neurodegenerative disease-Huntington disease","kegg"
"IFT57","ENTREZID","CASP3","ENTREZID","Human Diseases-Neurodegenerative disease-Huntington disease","kegg"
"HIP1","ENTREZID","CASP3","ENTREZID","Human Diseases-Neurodegenerative disease-Huntington disease","kegg"
"TAF4","ENTREZID","PPARGC1A","ENTREZID","Human Diseases-Neurodegenerative disease-Huntington disease","kegg"
"HTT","ENTREZID","PPARGC1A","ENTREZID","Human Diseases-Neurodegenerative disease-Huntington disease","kegg"
"HTT","ENTREZID","BAX","ENTREZID","Human Diseases-Neurodegenerative disease-Huntington disease","kegg"
"HTT","ENTREZID","BBC3","ENTREZID","Human Diseases-Neurodegenerative disease-Huntington disease","kegg"
"RB1CC1","ENTREZID","PIK3R4","ENTREZID","Human Diseases-Neurodegenerative disease-Huntington disease","kegg"
"RB1CC1","ENTREZID","ATG14","ENTREZID","Human Diseases-Neurodegenerative disease-Huntington disease","kegg"
"RB1CC1","ENTREZID","PIK3C3","ENTREZID","Human Diseases-Neurodegenerative disease-Huntington disease","kegg"
"RB1CC1","ENTREZID","NRBF2","ENTREZID","Human Diseases-Neurodegenerative disease-Huntington disease","kegg"
"RB1CC1","ENTREZID","BECN2","ENTREZID","Human Diseases-Neurodegenerative disease-Huntington disease","kegg"
"HTT","ENTREZID","BECN2","ENTREZID","Human Diseases-Neurodegenerative disease-Huntington disease","kegg"
"MAP3K10","ENTREZID","MAP2K7","ENTREZID","Human Diseases-Neurodegenerative disease-Huntington disease","kegg"
"HTT","ENTREZID","PSMA8","ENTREZID","Human Diseases-Neurodegenerative disease-Huntington disease","kegg"
"HTT","ENTREZID","PSMD14","ENTREZID","Human Diseases-Neurodegenerative disease-Huntington disease","kegg"
"HTT","ENTREZID","MAP3K10","ENTREZID","Human Diseases-Neurodegenerative disease-Huntington disease","kegg"
"MAPK8","ENTREZID","KLC3","ENTREZID","Human Diseases-Neurodegenerative disease-Huntington disease","kegg"
"HTT","ENTREZID","MAPK8","ENTREZID","Human Diseases-Neurodegenerative disease-Huntington disease","kegg"
"HTT","ENTREZID","KCNJ10","ENTREZID","Human Diseases-Neurodegenerative disease-Huntington disease","kegg"
"STX1A","ENTREZID","CACNA1B","ENTREZID","Human Diseases-Neurodegenerative disease-Huntington disease","kegg"
"HTT","ENTREZID","STX1A","ENTREZID","Human Diseases-Neurodegenerative disease-Huntington disease","kegg"
"UBA1","ENTREZID","RPS27A","ENTREZID","Human Diseases-Neurodegenerative disease-Parkinson disease","kegg"
"PRKN","ENTREZID","UBE2L3","ENTREZID","Human Diseases-Neurodegenerative disease-Parkinson disease","kegg"
"UBE2L3","ENTREZID","RPS27A","ENTREZID","Human Diseases-Neurodegenerative disease-Parkinson disease","kegg"
"PRKN","ENTREZID","PSMD14","ENTREZID","Human Diseases-Neurodegenerative disease-Parkinson disease","kegg"
"PRKN","ENTREZID","PSMA8","ENTREZID","Human Diseases-Neurodegenerative disease-Parkinson disease","kegg"
"PRKN","ENTREZID","SNCA","ENTREZID","Human Diseases-Neurodegenerative disease-Parkinson disease","kegg"
"PRKN","ENTREZID","GPR37","ENTREZID","Human Diseases-Neurodegenerative disease-Parkinson disease","kegg"
"PRKN","ENTREZID","SNCAIP","ENTREZID","Human Diseases-Neurodegenerative disease-Parkinson disease","kegg"
"PRKN","ENTREZID","SEPTIN5","ENTREZID","Human Diseases-Neurodegenerative disease-Parkinson disease","kegg"
"DAXX","ENTREZID","PARK7","ENTREZID","Human Diseases-Neurodegenerative disease-Parkinson disease","kegg"
"PARK7","ENTREZID","TP53","ENTREZID","Human Diseases-Neurodegenerative disease-Parkinson disease","kegg"
"PARK7","ENTREZID","DAXX","ENTREZID","Human Diseases-Neurodegenerative disease-Parkinson disease","kegg"
"PARK7","ENTREZID","MAP3K5","ENTREZID","Human Diseases-Neurodegenerative disease-Parkinson disease","kegg"
"PARK7","ENTREZID","NFE2L2","ENTREZID","Human Diseases-Neurodegenerative disease-Parkinson disease","kegg"
"SNCA","ENTREZID","PSMD14","ENTREZID","Human Diseases-Neurodegenerative disease-Parkinson disease","kegg"
"SNCA","ENTREZID","PSMA8","ENTREZID","Human Diseases-Neurodegenerative disease-Parkinson disease","kegg"
"TRAP1","ENTREZID","CYCS","ENTREZID","Human Diseases-Neurodegenerative disease-Parkinson disease","kegg"
"HTRA2","ENTREZID","CYCS","ENTREZID","Human Diseases-Neurodegenerative disease-Parkinson disease","kegg"
"PPIF","ENTREZID","CYCS","ENTREZID","Human Diseases-Neurodegenerative disease-Parkinson disease","kegg"
"PINK1","ENTREZID","NDUFC2-KCTD14","ENTREZID","Human Diseases-Neurodegenerative disease-Parkinson disease","kegg"
"SNCA","ENTREZID","NDUFC2-KCTD14","ENTREZID","Human Diseases-Neurodegenerative disease-Parkinson disease","kegg"
"PINK1","ENTREZID","HTRA2","ENTREZID","Human Diseases-Neurodegenerative disease-Parkinson disease","kegg"
"RPS27A","ENTREZID","RPS27A","ENTREZID","Human Diseases-Neurodegenerative disease-Parkinson disease","kegg"
"SNCA","ENTREZID","TH","ENTREZID","Human Diseases-Neurodegenerative disease-Parkinson disease","kegg"
"ADORA2A","ENTREZID","GNAL","ENTREZID","Human Diseases-Neurodegenerative disease-Parkinson disease","kegg"
"DRD1","ENTREZID","GNAL","ENTREZID","Human Diseases-Neurodegenerative disease-Parkinson disease","kegg"
"GNAL","ENTREZID","ADCY5","ENTREZID","Human Diseases-Neurodegenerative disease-Parkinson disease","kegg"
"GNAI1","ENTREZID","ADCY5","ENTREZID","Human Diseases-Neurodegenerative disease-Parkinson disease","kegg"
"SNCA","ENTREZID","HSPA5","ENTREZID","Human Diseases-Neurodegenerative disease-Parkinson disease","kegg"
"PRKN","ENTREZID","PLCG1","ENTREZID","Human Diseases-Neurodegenerative disease-Parkinson disease","kegg"
"CAMK2A","ENTREZID","MAPT","ENTREZID","Human Diseases-Neurodegenerative disease-Parkinson disease","kegg"
"SNCA","ENTREZID","KLC3","ENTREZID","Human Diseases-Neurodegenerative disease-Parkinson disease","kegg"
"PRKN","ENTREZID","MFN1","ENTREZID","Human Diseases-Neurodegenerative disease-Parkinson disease","kegg"
"PRKN","ENTREZID","BAX","ENTREZID","Human Diseases-Neurodegenerative disease-Parkinson disease","kegg"
"PARK7","ENTREZID","BCL2L1","ENTREZID","Human Diseases-Neurodegenerative disease-Parkinson disease","kegg"
"DAXX","ENTREZID","TP53","ENTREZID","Human Diseases-Neurodegenerative disease-Parkinson disease","kegg"
"TP53","ENTREZID","DUSP1","ENTREZID","Human Diseases-Neurodegenerative disease-Parkinson disease","kegg"
"DAXX","ENTREZID","MAPK8","ENTREZID","Human Diseases-Neurodegenerative disease-Parkinson disease","kegg"
"SNCA","ENTREZID","SLC18A1","ENTREZID","Human Diseases-Neurodegenerative disease-Parkinson disease","kegg"
"PRKN","ENTREZID","MAOA","ENTREZID","Human Diseases-Neurodegenerative disease-Parkinson disease","kegg"
"TXN2","ENTREZID","DAXX","ENTREZID","Human Diseases-Neurodegenerative disease-Parkinson disease","kegg"
"TXN2","ENTREZID","MAP3K5","ENTREZID","Human Diseases-Neurodegenerative disease-Parkinson disease","kegg"
"PRNP","ENTREZID","GRIN1","ENTREZID","Human Diseases-Neurodegenerative disease-Pathways of neurodegeneration - multiple diseases","kegg"
"PSEN1","ENTREZID","RYR1","ENTREZID","Human Diseases-Neurodegenerative disease-Pathways of neurodegeneration - multiple diseases","kegg"
"ATXN2L","ENTREZID","ITPR1","ENTREZID","Human Diseases-Neurodegenerative disease-Pathways of neurodegeneration - multiple diseases","kegg"
"PDYN","ENTREZID","GRIN1","ENTREZID","Human Diseases-Neurodegenerative disease-Pathways of neurodegeneration - multiple diseases","kegg"
"CSNK2A1","ENTREZID","KLC3","ENTREZID","Human Diseases-Neurodegenerative disease-Pathways of neurodegeneration - multiple diseases","kegg"
"PRNP","ENTREZID","GSK3B","ENTREZID","Human Diseases-Neurodegenerative disease-Pathways of neurodegeneration - multiple diseases","kegg"
"PRNP","ENTREZID","CACNA1B","ENTREZID","Human Diseases-Neurodegenerative disease-Pathways of neurodegeneration - multiple diseases","kegg"
"PRNP","ENTREZID","CSNK2A1","ENTREZID","Human Diseases-Neurodegenerative disease-Pathways of neurodegeneration - multiple diseases","kegg"
"ATG101","ENTREZID","RB1CC1","ENTREZID","Human Diseases-Neurodegenerative disease-Pathways of neurodegeneration - multiple diseases","kegg"
"ATXN3","ENTREZID","BECN2","ENTREZID","Human Diseases-Neurodegenerative disease-Pathways of neurodegeneration - multiple diseases","kegg"
"BCL2","ENTREZID","VDAC1","ENTREZID","Human Diseases-Neurodegenerative disease-Pathways of neurodegeneration - multiple diseases","kegg"
"ATF6","ENTREZID","HSPA5","ENTREZID","Human Diseases-Neurodegenerative disease-Pathways of neurodegeneration - multiple diseases","kegg"
"PRNP","ENTREZID","HSPA5","ENTREZID","Human Diseases-Neurodegenerative disease-Pathways of neurodegeneration - multiple diseases","kegg"
"HTT","ENTREZID","DLG4","ENTREZID","Human Diseases-Neurodegenerative disease-Pathways of neurodegeneration - multiple diseases","kegg"
"GRM1","ENTREZID","GNAQ","ENTREZID","Human Diseases-Neurodegenerative disease-Pathways of neurodegeneration - multiple diseases","kegg"
"PRKN","ENTREZID","PLCB1","ENTREZID","Human Diseases-Neurodegenerative disease-Pathways of neurodegeneration - multiple diseases","kegg"
"HTT","ENTREZID","CASP8","ENTREZID","Human Diseases-Neurodegenerative disease-Pathways of neurodegeneration - multiple diseases","kegg"
"HTT","ENTREZID","IFT57","ENTREZID","Human Diseases-Neurodegenerative disease-Pathways of neurodegeneration - multiple diseases","kegg"
"LRRK2","ENTREZID","CYCS","ENTREZID","Human Diseases-Neurodegenerative disease-Pathways of neurodegeneration - multiple diseases","kegg"
"HSD17B10","ENTREZID","PPIF","ENTREZID","Human Diseases-Neurodegenerative disease-Pathways of neurodegeneration - multiple diseases","kegg"
"PRKCA","ENTREZID","TRPC3","ENTREZID","Human Diseases-Neurodegenerative disease-Pathways of neurodegeneration - multiple diseases","kegg"
"SPTBN2","ENTREZID","GRM1","ENTREZID","Human Diseases-Neurodegenerative disease-Pathways of neurodegeneration - multiple diseases","kegg"
"PRNP","ENTREZID","PSMD14","ENTREZID","Human Diseases-Neurodegenerative disease-Pathways of neurodegeneration - multiple diseases","kegg"
"PRNP","ENTREZID","PSMA8","ENTREZID","Human Diseases-Neurodegenerative disease-Pathways of neurodegeneration - multiple diseases","kegg"
"PRNP","ENTREZID","PRNP","ENTREZID","Human Diseases-Neurodegenerative disease-Prion disease","kegg"
"PRNP","ENTREZID","CAV1","ENTREZID","Human Diseases-Neurodegenerative disease-Prion disease","kegg"
"PRNP","ENTREZID","NOTCH1","ENTREZID","Human Diseases-Neurodegenerative disease-Prion disease","kegg"
"PRNP","ENTREZID","SOD1","ENTREZID","Human Diseases-Neurodegenerative disease-Prion disease","kegg"
"PRNP","ENTREZID","BAX","ENTREZID","Human Diseases-Neurodegenerative disease-Prion disease","kegg"
"PRNP","ENTREZID","LAMC1","ENTREZID","Human Diseases-Neurodegenerative disease-Prion disease","kegg"
"PRNP","ENTREZID","FYN","ENTREZID","Human Diseases-Neurodegenerative disease-Prion disease","kegg"
"PRNP","ENTREZID","NCAM1","ENTREZID","Human Diseases-Neurodegenerative disease-Prion disease","kegg"
"PRNP","ENTREZID","STIP1","ENTREZID","Human Diseases-Neurodegenerative disease-Prion disease","kegg"
"NCF2","ENTREZID","MAPK1","ENTREZID","Human Diseases-Neurodegenerative disease-Prion disease","kegg"
"CYBB","ENTREZID","MAPK1","ENTREZID","Human Diseases-Neurodegenerative disease-Prion disease","kegg"
"CYBA","ENTREZID","MAPK1","ENTREZID","Human Diseases-Neurodegenerative disease-Prion disease","kegg"
"RAC1","ENTREZID","MAPK1","ENTREZID","Human Diseases-Neurodegenerative disease-Prion disease","kegg"
"NCF1","ENTREZID","MAPK1","ENTREZID","Human Diseases-Neurodegenerative disease-Prion disease","kegg"
"NCF4","ENTREZID","MAPK1","ENTREZID","Human Diseases-Neurodegenerative disease-Prion disease","kegg"
"EGR1","ENTREZID","CCL5","ENTREZID","Human Diseases-Neurodegenerative disease-Prion disease","kegg"
"CREB3","ENTREZID","EGR1","ENTREZID","Human Diseases-Neurodegenerative disease-Prion disease","kegg"
"PRNP","ENTREZID","RYR1","ENTREZID","Human Diseases-Neurodegenerative disease-Prion disease","kegg"
"PRNP","ENTREZID","ITPR1","ENTREZID","Human Diseases-Neurodegenerative disease-Prion disease","kegg"
"FYN","ENTREZID","PIK3CA","ENTREZID","Human Diseases-Neurodegenerative disease-Prion disease","kegg"
"PIK3CA","ENTREZID","PRKCD","ENTREZID","Human Diseases-Neurodegenerative disease-Prion disease","kegg"
